Unnamed: 0,Video ID,Title,Channel,Upload date,Stock,Summary,Company,Symbol,Sentiment
21,gbTEmNWLfvE,The not-so Magnificent 7: Alphabet and Apple,CNBC Television,2024-02-27 18:02:55+00:00,1,"Apple stock is up 1.5%. The company has a shareholder meeting tomorrow. Apple is not recognized as an ai player yet, steph says. Steph: i've been underweight forever, but have been add to go it down: 10% from the highs.",Apple,AAPL,2
22,_VBMkDiGCq8,"Final Trades: Comcast, AT&T, Amazon and the XLE",CNBC Television,2024-03-07 18:34:33+00:00,4,"yes, at&t >> jimmy >> amazon >> thank you for that. i think it gets the rotation and pays good dividends so as rates come down. look at it. robert downey jr. best supporting actor. sunday night >> home team >> i.",Amazon,AMZN,2
23,_VBMkDiGCq8,"Final Trades: Comcast, AT&T, Amazon and the XLE",CNBC Television,2024-03-07 18:34:33+00:00,70,"yes, at&t >> jimmy >> amazon >> thank you for that. i think it gets the rotation and pays good dividends so as rates come down. look at it. robert downey jr. best supporting actor. sunday night >> home team >> i.",AT&T,T,2
24,zw_lqqw7Ob4,"The EV market has gone 'from optimistic to realistic', says former Ford CEO Mark Fields",CNBC Television,2024-03-08 14:12:29+00:00,169,,Ford,F,1
25,D92lE_X4DlQ,Amazon joins Dow 30: Here's what investors should know,CNBC Television,2024-02-26 13:25:51+00:00,4,Amazon is the top pick if you step back. amazon went into the major investment cycle as they aggressively invested in next day and same dayand several hour delivery that really trashed its free cash flow margins. e-bay trades at a reasonable 12 times earnings multiple. The better marketplace is amazon.,Amazon,AMZN,0
26,D92lE_X4DlQ,Amazon joins Dow 30: Here's what investors should know,CNBC Television,2024-02-26 13:25:51+00:00,215,"we should really glean from going into the dow 30?. what does this mean? >>. i just think it is representation. i'm not sure what it means, but i think it's good to have a sense of what's going on. i don't know what it says, but it's a good thing.",Dow,DOW,1
27,K0yGRDUu0G0,"Alphabet has an attractive valuation, but is a 'show me' stock, says BakerAvenue's King Lip",CNBC Television,2024-02-27 21:54:06+00:00,3,"Alphabets, one of the top holdings, has had more missteps related to the rollout. We continue this as being attractive. This is somewhere from 10 to 15% below what we think is fair evaluation. The company has significant resources to be a leader in the ai arms race.",Alphabet,GOOGL,0
28,MqXL5MQ-0WI,"Apple, Google and Tesla are now becoming un-magnificent, says says Alger's Crawford",CNBC Television,2024-02-28 22:19:58+00:00,1,"apple. not the only mega cap stock lower today - alphabet trailing the group and adding to its losses for the year. ankur crawford, executive vice president and manager, says bifurcation is set to continue. i would argue that meta is more compelling than apple today in terms of the growth and valuation relative to apple.",Apple,AAPL,0
29,MqXL5MQ-0WI,"Apple, Google and Tesla are now becoming un-magnificent, says says Alger's Crawford",CNBC Television,2024-02-28 22:19:58+00:00,11,"that is what we are seeing right now with apple, google and tesla. there goes the curve. >> well, amazon is in apple, Google and TESla. just for now. >> just forNow. that's what we're seeing. That's what's happening right now.",Tesla,TSLA,1
30,PE8e2nZ5C6Q,Trade Tracker: Josh Brown buys more Pfizer,CNBC Television,2024-03-05 18:32:27+00:00,53,"josh brown says pfizer is one of the best opportunities in the entire market. The stock is on the 52-week low list and at an 11-year low. i don't even know if i'm done buying it yet, but i added to my position by about 50% yesterday. i am a buyer under 30 and we'll see what happens in the coming years.",Pfizer,PFE,2
31,EpEgo2I410U,"OpenAI shares Elon Musk emails urging startup to raise $1 billion, see Tesla as a cash cow",CNBC Television,2024-03-06 13:04:59+00:00,11,"the tesla ceo encouraged the startup to raise at least a billion dollars in funding. in one email in 2018, musk wrote: openai had no chance of becoming a competitor to google's deepmind without relative changes. last week, he accused the company and ceo, sam altman, from deviating from its initial mission by keeping the worksen of its post.",Tesla,TSLA,1
32,Bm0inOkyYxE,"Top-line growth and AI will determine where Salesforce's stock goes from here, says George Seay",CNBC Television,2024-02-28 12:21:28+00:00,26,"The salesforce.com report is expected to beat on revenue and earnings, but is it still a big deal? ""They've made some progress here, frank, but they've got more. they could potentially do, but i think we're kind of on the margins at this point,"" says George.",Salesforce,CRM,2
33,5Ns1eij9gqk,"Technical Support: BAC, AXP & KO",CNBC Television,2024-02-27 20:39:20+00:00,49,"Next up, we have american express above its third largest. We had an area of consolidation that we broke out over. No longer are there any lower lows or lower highs. That is a lot of bullish momentum. We have to support right here. run the 188 level. we are getting into the super highs based on previous trends.",American Express,AXP,2
34,wDWaTwiBoVw,Chart Master: What's next for Apple,CNBC Television,2024-02-29 23:22:16+00:00,1,"Since all-time high last december, apple has been underperforming the s&p 500 by more than 15%. could the so-called benchmark stock be signaling a downturn? let's go to the chart master. hi carter >>. hi there, well, you know, there's an expression in the southern united states. this dog won't hunt, and that's the circumstance with apple.",Apple,AAPL,0
35,_zNulk5FQWw,"Calls of the Day: IBM, UnitedHealth and Deere",CNBC Television,2024-03-07 18:42:26+00:00,46,"ibm is where. we're starting price target to 185 at bernstein, from 165.. a rerating, they say, driven by improved operating performance and competitive positioning. lilly around a high almost every day, too even though it may pullback slightly on the novo news. that's where the action seems to be.",IBM,IBM,2
36,_zNulk5FQWw,"Calls of the Day: IBM, UnitedHealth and Deere",CNBC Television,2024-03-07 18:42:26+00:00,81,"Jimmy says he's not selling deere, but he's looking for that umph. The stock is down 6.5% year to date. The reason to own the stock for the long run is precision farming, he says. ""i hate being so tied to crop prices and weather patterns at this valuation""",Deere,DE,0
37,UpzXHkliqZA,Apple snapping 7-day losing streak,CNBC Television,2024-03-08 18:31:42+00:00,1,i think what's interesting is all this news about china. i think has all been priced into the stock. they will figure out an ai solution for the iphone. it's just coming later on. they're watching everyone else. this is a clear referendum on tesla. you're not see.,Apple,AAPL,1
38,L6dpSXOnjbU,"Eli Lilly could be the next stock to cross $1 trillion, says Jim Cramer",CNBC Television,2024-02-27 00:16:51+00:00,7,"eli lilly has a serious chance of passing a trillion dollars. the insurers club is recognizing that the weight loss drugs are being used. responsibility to combat diabetes and obesity, hypertensive, the copd, fatty liver disease and a couple other conditions we don't even know. i'm sorry, they don't make it.",Eli Lilly,LLY,1
39,nP4gYJ31omI,Cramer’s Mad Dash: Salesforce,CNBC Television,2024-02-26 15:02:16+00:00,26,Salesforce has two upgrades ahead of the quarter and the problem with that is the 28th. 40% of their business at n Nvidia is. can you infer? i ask you a question and they're asked trillions of questions which would say what would make it so that you would buy more. that's how they use ai and i think it'spretty -- it's pretty impressive.,Salesforce,CRM,1
40,_JVgNT_VsHc,"Without transparency, it's hard to trust Apple and Google, says Alex Kantrowitz",CNBC Television,2024-02-28 12:48:47+00:00,1,"i'm going to google skunkworks right now, when it comes to apple, give me a sense. i think it's been a corporate issue that's held apple back from building an electric car or autonomous car. apple's actually asking shareholders to vote no on this because they're worried about revealing some of their competitive position. iowas want to know how the algorithm works and who's involved with it. iowa wants to know if alphabet needs to release a report creating more transparency. iowas: If google gets away with not telling us how the algorithms works, or failing in the past, it needs to tell us now. going forward is to maintain trust.",Apple,AAPL,1
41,gzBon0qM7Ag,Wells Fargo's Mike Mayo offers his top bank stock picks,CNBC Television,2024-02-26 21:34:34+00:00,34,,Wells Fargo,WFC,1
42,d27ZNyvyFpE,"Trade Tracker: Bill Baruch buys Salesforce and more AMD, Nvidia & Western Digital",CNBC Television,2024-02-29 17:54:10+00:00,26,"Bill Baruch is one of the members of the committee that bought salesforce. Baruch says he bought the company to gain more software exposure. He says he's impressed with how the stock has performed and Benioff's excitement. Baroch: If this gets out above its previous high, it could start to run from a price perspective.",Salesforce,CRM,2
43,d27ZNyvyFpE,"Trade Tracker: Bill Baruch buys Salesforce and more AMD, Nvidia & Western Digital",CNBC Television,2024-02-29 17:54:10+00:00,318,"i'm re-establishing an overweight position here. let it set until after earnings, and this is very, very tactical. i want to see this in a very constructive bull flag, like pattern. if we start surrendering the middle february his, then i would look to manage this position.",Western Digital,WDC,1
44,4l60ncIz7co,Cramer’s Mad Dash: Boeing,CNBC Television,2024-02-29 16:23:42+00:00,78,"The justice department is looking into it to see whether they violated the deferred prosecution agreement of a couple years ago. Someone could see the faa in the actual manufacturing of the plane. That is criminal, that is not civil, what i think is most interesting. The question is: had they deceived the regulators.",Boeing,BA,1
45,vQSZbyDVPpo,Cramer’s Stop Trading: HP,CNBC Television,2024-02-29 17:01:49+00:00,272,"Jensen huang of n Nvidia is speaking at a user conference next week. i think that there's a protein revolution to go with the documentary. i have hormel on tonight, the star of the s&p. jeff martin delivered the best of the utility quarters i've seen.",HP,HPQ,1
46,ICE6qqDCFsM,Citi's Chronert: A lot supports our bullish stance on S&P fundamental strength,CNBC Television,2024-03-05 16:31:29+00:00,75,"scott crowner, citi's us equity strategist, joins us at post nine, his bull case 5700.. scott, great to have you. good to be here. we were talking. the house view at citi on the macro side has been cautious for a while, and yet you are looking to be potentially more constructive. why is that? we've been table pounding bullish on s&p 500 for a year now.",Citi,C,1
47,LacPFD2ZDEs,"Apple needs to do something big and Rivian might be the answer, says Deepwater's Gene Munster",CNBC Television,2024-02-28 01:46:03+00:00,1,"Apple announced it is selling its stake in deepwater asset management company tesla. ross gerber, jean Munster and gene gerber weigh in on the news. What do you think? Is it a good move for apple or a bad one? Share your thoughts in the comments below. i think apple could have done something really special when it comes to automotive -- >>. i think the rivian that lines up 10, $12 billion market cap, definitely more doable, and i think it does line up. i am disappointed that this turn in events and i don't want to be predicting that they are ultimately going to do something like this.",Apple,AAPL,0
48,kKILXnL8D9M,Trade Tracker: Kevin Simpson trims Broadcom and buys more IBM,CNBC Television,2024-03-08 18:15:42+00:00,8,"Broadcom's revenues were expected to be $38 billion previously. That got jumped up to $50 billion- explosive growth, definitely nice things. We're looking at a stock that's fairly priced, so for that reason, we've been exiting the position. If it gets to $900, that's probably where it should be trading. that's going to be an uncomfortable drop to watch.",Broadcom,AVGO,2
49,kKILXnL8D9M,Trade Tracker: Kevin Simpson trims Broadcom and buys more IBM,CNBC Television,2024-03-08 18:15:42+00:00,46," ibm trades at under three times sales over the past six quarters. they've seen free cash flow grow from $7 billion to $12 billion. we'd like to see the dividend growth. see them grow. they're getting ai exposure through red hat. watson x- the stock didn't do anything for what. three, four, five years.",IBM,IBM,2
50,WsTCJokwEGA,Clockwise's James Cakmak holds bullish case for Amazon,CNBC Television,2024-02-26 19:10:52+00:00,4,The e-commerce of retail will continue to go from analog to digital and over 50% of those dollars are captured by amazon. The real sexy part about this whole story is amazon web services. We were at 12% and 13% last quarter and we think it will just continue to incrementally grow higher from here.,Amazon,AMZN,2
51,-CSjFtE-Bag,Cantor's Sarah James names Cigna and Elevance as health insurer stocks to watch,CNBC Television,2024-02-26 20:42:49+00:00,89,Cigna just won the big contract away from cvs. We are heading into a period of investments where they are going to rely on each other for shared services. A key area is glp-1's that is a huge amount for a single drug class. That's an area they are focusing: re-down the price a.,Cigna,CI,1
52,QYcnW8rNfx4,Chart of the Day: Target,CNBC Television,2024-03-05 17:58:15+00:00,107,"Stephanie link, chief investment strategist at Hightower, joins us now to discuss this trade. Casey's general store is a gas and convenience store chain in the midwest. The stock is still down 37% from november of 2021, and you only have 20 buys on the stock.",Target,TGT,0
53,VtB0h6bCiGY,"Alphabet would be dramatically higher if it was willing to embrace efficiency, says Jim Cramer",CNBC Television,2024-02-28 00:55:27+00:00,3,"i don't even want to call it alphabet anymore, because they never change the symbol. here's something to ponder how many outpost's, how many warrants are buried in this sprawling intellectual playground. you been fooling around with your fitbits charge six tracker for $159.99.. is this the one you want? google wasting his time on? and then you have garmin- truly a great use of brainpower. jim: i've been following you and listening to you for 19 years. i have an energy play market. cap is phenomenal. a ratio of 13.47.. it makes money, like you say. $1.09 per share, operates the national gas pipeline and transportation wondering. if this is a good investment work you would recommend nothing else.",Alphabet,GOOGL,1
54,DoZVR4K0-5A,"Paramount could be a good long-term due to sports content, says Payne Capital's Courtney Garcia",CNBC Television,2024-02-28 21:00:55+00:00,482,"earnings exchange with paramount global, hp, inc. and birkenstock. on deck here with our trade is courtney garcia, senior wealth advisor and cnbc contributor. We will start with paramount. shares are on pace for fourth straight negative week. a strategic budget could be in the cards as the streaming ads decelerate.",Paramount,PARA,0
55,mY8xkGciYeU,"G Squared's Victoria Greene says Costco is a buy, here's why",CNBC Television,2024-03-07 19:32:30+00:00,23,"Baird expects accelerating discretionary numbers. broadcom shares, more than doubling over the past year. docusign, which broke a losing streak last week, jeopardy watching enterprise demand and competition as last week's rumor of a buyout not come to fruition and cut 6% of its workforce.",Costco,COST,2
56,Vqc7qktK6g4,"Amazon's addition to the Dow doesn't answer questions around AI, says Deepwater's Gene Munster",CNBC Television,2024-02-26 16:16:53+00:00,4,"Amazon is in clear third place when it comes to the ai cloud behind microsoft and google, gene munster, deepwater managing partner, joins us now covers all the mag seven stocks. If nothing else, just a sign of the times. that amazon joins the sDMou.",Amazon,AMZN,1
57,Vqc7qktK6g4,"Amazon's addition to the Dow doesn't answer questions around AI, says Deepwater's Gene Munster",CNBC Television,2024-02-26 16:16:53+00:00,215,"as you said, it's a nice, prestigious identity for them to be a part of the dow. but again the punch power, the bevenchmarking power of bei added to the dow, is 0.01 less than the s&p 500.",Dow,DOW,1
58,5BGiGuDbYmM,"Calls of the Day: Some bullish calls on Netflix, Eli Lilly, General Electric and Snowflake",CNBC Television,2024-02-27 19:09:59+00:00,27,netflix price increase from 570.. ubs: new 52-week high today jason snipe- you own the stock >> to me. they're the clear winner in the space: 29 million new subs in 2023. lilly price target to 850 from 680.. i don't think i need to tell you why there's so much optimism around this stock. it is getting expensive.,Netflix,NFLX,2
59,xYVImuGQjSQ,Costco reports after the bell: Here's what you need to know,CNBC Television,2024-03-07 21:51:21+00:00,23,"Consumers of costco hitting an all time high ahead of reporting results. Several analysts, raising price targets based on a strong start of sales and possibility of membership increase grade. greg mellick joins me now: how high is the bar? i guess would be the initial question. i think the expectations are high for good reason: there was consistent traffic growth.",Costco,COST,2
60,wTlWoSlifz0,"Apple is at a lull right now in terms of disruptive innovation, says Rosenblatt's Barton Crockett",CNBC Television,2024-03-05 13:29:59+00:00,1,"Apple is at a crossroads right. now. they need to come up with a really kind of interesting ai innovation at their worldwide developer conferencein june. i think that the easiest thing for apple to do is talk about the processing power in their devices. if that moves the needle and stimulates more business, more demand for iphones and macs is where i think the real benefit could come.",Apple,AAPL,2
61,hFfDJ63UCcY,"Target shares pop as retailer boosts profits, despite lackluster sales forecast",CNBC Television,2024-03-05 13:01:59+00:00,107,"target just reporting earnings for the quarter. it came in at $2.98a share. revenue: also beat expectations at $31.9 billion. The stock is up sharply at 5.8%, probably because of the current quarter is better than expected, but also because the profit margins have gotten better for 2023.",Target,TGT,2
62,nxZWfoYfYmg,Calls of the Day: Salesforce and CVS,CNBC Television,2024-02-26 18:56:13+00:00,26,"i think that salesforce is going to benefit from the acquisition of mule soft several years back in the ai adoption. i think the cash potential is the reason to own the stock. shares recently got knocked down off of 82, and that was on the back of the fourth quarter resul.",Salesforce,CRM,0
63,aFzKqm7P5-k,Final Trades: Alphabet and Union Pacific,CNBC Television,2024-03-04 18:21:17+00:00,3,"i would own puts in alphabet if you were long the stock. if you do own the puts, i'd keep them, and i still think it goes lower. and two winners in the race of ai for everyday tools, google and microsoft. it's foolish to sell based.",Alphabet,GOOGL,1
64,hHV5E3NiDbg,"Salesforce is our top pick as a generative AI pure play, says Stefan Slowinksi",CNBC Television,2024-02-29 12:59:13+00:00,26,"we are still out perform on salesforce. We see 27% upside wit. we see a gen ai play, we see the products coming available. you know it is exciting to see that starting to come through for Salesforce. we are seeing more momentum across the industry with gen-ai hype and buzz turning.",Salesforce,CRM,2
65,IwKb3Ul8twg,"The UnitedHealth hack helped push Palo Alto Networks higher, says Jim Cramer",CNBC Television,2024-02-27 00:59:05+00:00,100,"i see these things happen pretty much every day, which is a big reason why you can't just write off palo alto networks at 100 points in a day, or 400% micron. these moves are all signs emblematic of a bubble, but company is doing much better than expected. stocks are doing up on rational experience, not on irrational.",Palo Alto,PANW,2
66,0k-WNjugGCg,"Target's profitability is returning back to where it was historically, says UBS' Michael Lasser",CNBC Television,2024-03-05 15:13:12+00:00,107,Target's stock is up 8.3% after the company's fourth quarter profit and revenue beats. The company's traffic was down 2% this quarter after being down mid-single digits for the last few quarters. The profitability of this business is returning back to where it was historically.,Target,TGT,2
67,XsH1eCaAXus,"Apple will find ways to 'essentially charge developers anyway,' says Deepwater's Gene Munster",CNBC Television,2024-03-04 20:17:53+00:00,1,"Apple is under pressure after being hit with a $2 billion fine for antitrust violations. Gene munster: Investors are voting that they don't have confidence in apples ai strategy. Munster: Apple will use ai to make better predictive text and add the fit and finish around their hardware. i suspect that will frustrate and in for a great some developers. i have been closely watching what has happened: canada, us, south korea, japan, the eu. apple is really smart. they will go and make changes to accommodate the courts but then they find ways to essentially charge the developers anyway.",Apple,AAPL,0
68,OYxzpItDEwg,"Apple pulling out of EV project was the right move, says Wedbush's Dan Ives",CNBC Television,2024-02-28 16:13:05+00:00,1,"Reports say apple is winding down the electric car project. This after ten years shifting some of the people on that effort to ai. gill lori, a neutral rating on the stock, dan ives of course our viewers know he likes apple- has a price target of 250.",Apple,AAPL,1
69,SwhoDdrRmCo,"Lowe’s beats earnings estimates even as sales fall, company expects revenue to slide again",CNBC Television,2024-02-27 13:10:55+00:00,57,"lowe's is out. i tried to get a quote and there is a big spread with the big and ask if we get a determination where it is trading. i don't know if that is a real trade. the numbers on face value you look good. 1.77 is what the company reported. over $1.68 as the estimate down from last year, as far as year over year results. The estimate for revenue was $18.45 billion. The company reported It wasn't that long ago that my team and i downgraded lowe's and home depot on the idea of the near-term euphoria. we think this may be a bit opt optimist, as i think how 2024 plays out here. the fundamental softness we have seen could persist longer. that is when you see the stocks get under pressure.",Lowe,LOW,0
70,puMuXWKl6sA,"Super Micro needs to figure out a differentiator, says Wedbush's Matt Bryson",CNBC Television,2024-03-04 22:48:47+00:00,146,"Supermicro's market cap is now in the 80 billion range, but would it take for a company like this would be -- what kind of margins with the need to have more sales with they have to have in order for that to be reasonable? can they figure out some kind of differentiator so they look like apple ios or they look. like microsoft windows for's servers?",Super Micro,SMCI,1
71,5Ho5S4n-asI,"Move on from Apple, tactically: Renaissance Macro Research CEO",CNBC Television,2024-03-04 21:18:25+00:00,1,"Apple is a big name, part of the mag 7, and it's the weakest of them all. i think you want to move on from apple tactically. it's not far behind but it is far behind them. this isn't about the next 30 years.",Apple,AAPL,1
72,pHmIoQBjUJw,Cramer’s Stop Trading: Moderna,CNBC Television,2024-02-26 15:58:11+00:00,223,"david: moderna hsbc downgrades it to a sell. zoom, another name that reports this week. livenation very close to the four-year anniversary when all of us exited. i've got alongco pet and clear this morning and huntington bank from steve steinour on barry.",Moderna,MRNA,1
73,S0_g8vdKk6A,"Apple doesn't necessarily need to be a leader in generative AI, says Bernstein's Toni Sacconaghi",CNBC Television,2024-03-05 14:28:23+00:00,1,"apple was hit with a nearly $2 billion fine from european regulators over music streaming. toni sacconaghi bernstein, senior research analyst, joins joe to discuss the stock. i'm worried that there was a bit of a sea change is there or once again, demise is being greatly exaggerated, says toni. apple is introducing new services every year. whether they're media services or financial services, they're deepening penetration. that trifecta of being able to sell services in new parts of the world, raise price, skand, introduce new services likely means that business can grow double digits for several more years.",Apple,AAPL,0
